Bandit,Reward,Algorithm
1.0,0.5048837593566711,EpsilonGreedy
1.0,2.3913178006858984,EpsilonGreedy
3.0,3.790006862887748,EpsilonGreedy
3.0,3.416805832340369,EpsilonGreedy
3.0,4.558565006881935,EpsilonGreedy
3.0,2.5020768671404436,EpsilonGreedy
2.0,3.357427888329502,EpsilonGreedy
3.0,3.975952871308358,EpsilonGreedy
3.0,3.5941014260255013,EpsilonGreedy
3.0,3.7524502925060994,EpsilonGreedy
0.0,-0.05952632015510062,EpsilonGreedy
1.0,1.3711781444563513,EpsilonGreedy
3.0,2.770890940477716,EpsilonGreedy
3.0,4.904287295251591,EpsilonGreedy
3.0,5.657035025668828,EpsilonGreedy
3.0,4.436717495377415,EpsilonGreedy
3.0,5.071529025333404,EpsilonGreedy
3.0,3.584144356674739,EpsilonGreedy
3.0,4.992754377224106,EpsilonGreedy
3.0,3.757500395165749,EpsilonGreedy
3.0,5.453774627150855,EpsilonGreedy
3.0,4.546044486617334,EpsilonGreedy
3.0,3.0433300508133714,EpsilonGreedy
2.0,4.531578318507577,EpsilonGreedy
3.0,3.686945821458148,EpsilonGreedy
3.0,2.4791959826513255,EpsilonGreedy
3.0,3.7158230955156295,EpsilonGreedy
3.0,3.110565984039161,EpsilonGreedy
3.0,4.26727920936921,EpsilonGreedy
3.0,4.354395518875837,EpsilonGreedy
3.0,4.634264192018823,EpsilonGreedy
3.0,5.845404696143579,EpsilonGreedy
3.0,4.113598394899054,EpsilonGreedy
3.0,2.290251161441666,EpsilonGreedy
3.0,3.3229648229860174,EpsilonGreedy
3.0,3.343633910378267,EpsilonGreedy
3.0,4.167690957594828,EpsilonGreedy
3.0,4.116844174792298,EpsilonGreedy
3.0,3.1432391032081295,EpsilonGreedy
3.0,4.574817356273556,EpsilonGreedy
3.0,2.738902881228086,EpsilonGreedy
2.0,4.094298497475318,EpsilonGreedy
2.0,4.691989715590341,EpsilonGreedy
2.0,4.168922021920535,EpsilonGreedy
2.0,3.9580820370701018,EpsilonGreedy
2.0,2.8545909477153173,EpsilonGreedy
2.0,5.355358401707221,EpsilonGreedy
2.0,4.180107545246188,EpsilonGreedy
2.0,3.7777339637672873,EpsilonGreedy
2.0,2.357577929831021,EpsilonGreedy
2.0,3.4765407796526424,EpsilonGreedy
3.0,4.084225273499404,EpsilonGreedy
3.0,4.147476990868154,EpsilonGreedy
3.0,4.224226458277574,EpsilonGreedy
3.0,3.504868717223653,EpsilonGreedy
3.0,3.76214509893862,EpsilonGreedy
3.0,2.811563859158292,EpsilonGreedy
3.0,4.700273325470469,EpsilonGreedy
3.0,3.5504941862150403,EpsilonGreedy
3.0,4.364698872469095,EpsilonGreedy
3.0,4.128800645063645,EpsilonGreedy
3.0,3.702282735867891,EpsilonGreedy
0.0,1.4510198069814835,EpsilonGreedy
3.0,3.3008670377844447,EpsilonGreedy
3.0,3.659256420479984,EpsilonGreedy
3.0,3.784600216324413,EpsilonGreedy
3.0,4.3203896895037435,EpsilonGreedy
3.0,3.8483358537295906,EpsilonGreedy
3.0,6.836200796120198,EpsilonGreedy
3.0,4.852850398653196,EpsilonGreedy
3.0,3.7269695567749648,EpsilonGreedy
3.0,3.0814207730461525,EpsilonGreedy
3.0,3.879481228747924,EpsilonGreedy
3.0,3.215478798285895,EpsilonGreedy
3.0,3.018866401553489,EpsilonGreedy
3.0,3.4664750584618487,EpsilonGreedy
3.0,3.3951789773948713,EpsilonGreedy
3.0,2.258296985081887,EpsilonGreedy
2.0,4.015462368319419,EpsilonGreedy
2.0,3.048587290548626,EpsilonGreedy
3.0,5.0931825080013375,EpsilonGreedy
3.0,4.4082623239265715,EpsilonGreedy
3.0,3.757541606568902,EpsilonGreedy
3.0,3.5249142585103606,EpsilonGreedy
3.0,4.207524818793312,EpsilonGreedy
3.0,4.572823288215501,EpsilonGreedy
3.0,4.011105550885396,EpsilonGreedy
3.0,3.9827385329181033,EpsilonGreedy
3.0,3.1995274303909946,EpsilonGreedy
3.0,3.7526086663069598,EpsilonGreedy
3.0,3.066251967540633,EpsilonGreedy
3.0,5.346429017456689,EpsilonGreedy
3.0,2.8722009156214567,EpsilonGreedy
3.0,5.1486050027148424,EpsilonGreedy
3.0,6.001658621512831,EpsilonGreedy
3.0,3.6165678859470822,EpsilonGreedy
3.0,4.291581562116149,EpsilonGreedy
3.0,1.9030524436204725,EpsilonGreedy
3.0,4.818725170696119,EpsilonGreedy
3.0,5.374816304250087,EpsilonGreedy
3.0,4.99350428730626,EpsilonGreedy
3.0,3.2153647575752156,EpsilonGreedy
3.0,3.581279634195858,EpsilonGreedy
3.0,3.061215654911824,EpsilonGreedy
3.0,3.2731681685915146,EpsilonGreedy
3.0,4.829210995674861,EpsilonGreedy
3.0,5.329334345180379,EpsilonGreedy
3.0,2.755023078414764,EpsilonGreedy
3.0,4.425151122470316,EpsilonGreedy
3.0,6.5159384887237835,EpsilonGreedy
3.0,5.282229367634246,EpsilonGreedy
3.0,2.4942228238163127,EpsilonGreedy
3.0,3.723009850973456,EpsilonGreedy
3.0,5.59109118496916,EpsilonGreedy
3.0,3.3687080844957036,EpsilonGreedy
3.0,4.602779487331937,EpsilonGreedy
3.0,3.2774376545580406,EpsilonGreedy
3.0,3.0223602294666305,EpsilonGreedy
3.0,4.929684067856453,EpsilonGreedy
3.0,3.814823398121937,EpsilonGreedy
3.0,4.060622527752609,EpsilonGreedy
3.0,3.5380358214457153,EpsilonGreedy
3.0,4.157721402681829,EpsilonGreedy
3.0,2.211768796821949,EpsilonGreedy
3.0,2.981538673712519,EpsilonGreedy
3.0,4.335788703511458,EpsilonGreedy
3.0,1.7661000409056804,EpsilonGreedy
3.0,5.331173842295141,EpsilonGreedy
3.0,3.7310510358274507,EpsilonGreedy
3.0,4.896144815418507,EpsilonGreedy
3.0,2.245041641584934,EpsilonGreedy
3.0,3.0764042691357916,EpsilonGreedy
3.0,3.781745361320925,EpsilonGreedy
3.0,3.3538142831133078,EpsilonGreedy
3.0,5.259895513565684,EpsilonGreedy
3.0,5.345800074635513,EpsilonGreedy
3.0,3.666379667282481,EpsilonGreedy
3.0,0.798773384900699,EpsilonGreedy
3.0,5.004339019433399,EpsilonGreedy
3.0,3.4489613397215404,EpsilonGreedy
3.0,0.42469261385006263,EpsilonGreedy
3.0,3.272958408780264,EpsilonGreedy
3.0,4.047263887358975,EpsilonGreedy
3.0,4.43646642829392,EpsilonGreedy
3.0,6.2584166528611345,EpsilonGreedy
3.0,4.555731668543119,EpsilonGreedy
3.0,4.137517258570169,EpsilonGreedy
3.0,3.556696209506506,EpsilonGreedy
3.0,4.231280702288377,EpsilonGreedy
3.0,3.1982996627038887,EpsilonGreedy
3.0,4.586770140239523,EpsilonGreedy
3.0,4.2820037914994025,EpsilonGreedy
3.0,2.7487434243856406,EpsilonGreedy
3.0,5.227561280291057,EpsilonGreedy
3.0,2.6702406496040663,EpsilonGreedy
3.0,5.0975661288039245,EpsilonGreedy
3.0,3.4621744877262306,EpsilonGreedy
3.0,4.378093467135579,EpsilonGreedy
3.0,4.117075218331691,EpsilonGreedy
3.0,4.89819609110266,EpsilonGreedy
3.0,3.890129118366469,EpsilonGreedy
3.0,3.394040807799186,EpsilonGreedy
3.0,2.001010683574388,EpsilonGreedy
3.0,3.933945328848794,EpsilonGreedy
3.0,4.728370554355163,EpsilonGreedy
3.0,3.8276576590234987,EpsilonGreedy
3.0,4.9331814369413705,EpsilonGreedy
3.0,4.776494661404792,EpsilonGreedy
3.0,5.458162802611705,EpsilonGreedy
3.0,4.064919238032165,EpsilonGreedy
3.0,2.975822324139398,EpsilonGreedy
3.0,3.973298508888158,EpsilonGreedy
3.0,3.0662386849563523,EpsilonGreedy
3.0,5.1622183115274645,EpsilonGreedy
3.0,3.6630884766940066,EpsilonGreedy
3.0,5.409730696489906,EpsilonGreedy
3.0,4.751581152723084,EpsilonGreedy
3.0,6.782889089751755,EpsilonGreedy
3.0,4.120235037971504,EpsilonGreedy
3.0,3.0563399024735953,EpsilonGreedy
3.0,3.5313933767601577,EpsilonGreedy
3.0,3.187462984681174,EpsilonGreedy
3.0,3.1116980007736785,EpsilonGreedy
3.0,3.7254783815517367,EpsilonGreedy
3.0,4.615797688384975,EpsilonGreedy
3.0,3.569253091028072,EpsilonGreedy
3.0,4.161524722002542,EpsilonGreedy
3.0,5.803222574698154,EpsilonGreedy
3.0,4.1839311425982295,EpsilonGreedy
3.0,4.094697866889257,EpsilonGreedy
3.0,3.366501785681196,EpsilonGreedy
3.0,3.064102250069681,EpsilonGreedy
3.0,5.309046415358648,EpsilonGreedy
3.0,5.82436454692942,EpsilonGreedy
3.0,4.717401074968468,EpsilonGreedy
3.0,5.7533560585012475,EpsilonGreedy
3.0,3.974542381199524,EpsilonGreedy
3.0,2.2116231487883766,EpsilonGreedy
3.0,3.398876430615015,EpsilonGreedy
3.0,4.519277605148186,EpsilonGreedy
3.0,2.5907735790166444,EpsilonGreedy
3.0,3.821933532027854,EpsilonGreedy
3.0,3.4768677617859023,EpsilonGreedy
3.0,2.7524856937053808,EpsilonGreedy
3.0,5.467218297998815,EpsilonGreedy
3.0,3.381473042435456,EpsilonGreedy
3.0,5.52697024277523,EpsilonGreedy
3.0,4.190338996787904,EpsilonGreedy
3.0,3.678946711727209,EpsilonGreedy
3.0,4.474217524458263,EpsilonGreedy
3.0,3.807548282064087,EpsilonGreedy
3.0,3.9385529075611267,EpsilonGreedy
3.0,3.1092221559206754,EpsilonGreedy
3.0,5.3128535347752806,EpsilonGreedy
3.0,4.13705598202297,EpsilonGreedy
3.0,2.37439063811523,EpsilonGreedy
3.0,5.403311937483949,EpsilonGreedy
3.0,5.219503841937596,EpsilonGreedy
3.0,1.9169777958443328,EpsilonGreedy
3.0,4.785573095229385,EpsilonGreedy
3.0,3.7572409657112025,EpsilonGreedy
