Bandit,Reward,Algorithm
1.0,0.10361566656020216,ThompsonSampling
3.0,4.151068920270408,ThompsonSampling
3.0,3.1106074181551824,ThompsonSampling
3.0,3.9698662877894884,ThompsonSampling
3.0,3.073922531642606,ThompsonSampling
3.0,3.3932860743330036,ThompsonSampling
3.0,5.356896971164576,ThompsonSampling
3.0,2.479084083173845,ThompsonSampling
3.0,3.13220793628871,ThompsonSampling
3.0,3.831361036773543,ThompsonSampling
3.0,3.4441838348545684,ThompsonSampling
3.0,4.697399619688708,ThompsonSampling
3.0,3.804750589422829,ThompsonSampling
3.0,5.200317345444919,ThompsonSampling
3.0,4.834859868180825,ThompsonSampling
3.0,1.6744954839834096,ThompsonSampling
3.0,4.268310872336757,ThompsonSampling
3.0,5.119942973114983,ThompsonSampling
3.0,2.3927279051826833,ThompsonSampling
3.0,4.446494165959851,ThompsonSampling
3.0,3.5008993176621854,ThompsonSampling
3.0,4.501157120868362,ThompsonSampling
3.0,3.2498788445282427,ThompsonSampling
3.0,3.9270516351037377,ThompsonSampling
3.0,4.50499937504685,ThompsonSampling
3.0,4.203290568830053,ThompsonSampling
3.0,3.0295096203272207,ThompsonSampling
3.0,5.269726813259154,ThompsonSampling
3.0,4.069897530337523,ThompsonSampling
3.0,3.7505997960369455,ThompsonSampling
3.0,4.83321931825657,ThompsonSampling
3.0,2.797348403961806,ThompsonSampling
3.0,5.747578649846929,ThompsonSampling
3.0,4.0570356142742625,ThompsonSampling
3.0,4.018948524618939,ThompsonSampling
3.0,3.455770668127411,ThompsonSampling
3.0,3.811984974712681,ThompsonSampling
3.0,4.739370762370916,ThompsonSampling
3.0,2.7992381382918126,ThompsonSampling
3.0,5.374689452090234,ThompsonSampling
3.0,4.013120525278619,ThompsonSampling
3.0,3.401240696666699,ThompsonSampling
3.0,4.380925758341502,ThompsonSampling
3.0,4.158223328801313,ThompsonSampling
3.0,4.14702723529294,ThompsonSampling
3.0,6.128090838848163,ThompsonSampling
3.0,4.9417447553257805,ThompsonSampling
3.0,5.782590922316615,ThompsonSampling
3.0,2.7277136744308423,ThompsonSampling
3.0,4.186249892843469,ThompsonSampling
3.0,2.061107999215759,ThompsonSampling
3.0,4.86961813868838,ThompsonSampling
3.0,4.101269625095059,ThompsonSampling
3.0,4.232462744919661,ThompsonSampling
3.0,2.5137359330710405,ThompsonSampling
3.0,3.970647152185669,ThompsonSampling
3.0,5.215768687338586,ThompsonSampling
3.0,3.570662507507888,ThompsonSampling
3.0,3.8770246197372398,ThompsonSampling
3.0,3.70289042085638,ThompsonSampling
3.0,3.549430066199087,ThompsonSampling
3.0,3.3772162660077805,ThompsonSampling
3.0,3.821313380021235,ThompsonSampling
3.0,3.428066335104134,ThompsonSampling
3.0,4.101171745924824,ThompsonSampling
3.0,2.2353529585297705,ThompsonSampling
3.0,3.676516970654831,ThompsonSampling
3.0,2.809351343468781,ThompsonSampling
3.0,1.8990350291021652,ThompsonSampling
3.0,4.971690257099826,ThompsonSampling
3.0,3.920130393145637,ThompsonSampling
3.0,3.874710324905941,ThompsonSampling
3.0,3.892976431562487,ThompsonSampling
3.0,5.304477427411022,ThompsonSampling
3.0,4.496562956514752,ThompsonSampling
3.0,1.6692271592845658,ThompsonSampling
3.0,5.269164859119535,ThompsonSampling
3.0,4.804129995774753,ThompsonSampling
3.0,2.187427224178135,ThompsonSampling
3.0,3.2090357160400536,ThompsonSampling
3.0,4.44814160144872,ThompsonSampling
3.0,4.734144561246338,ThompsonSampling
3.0,3.54890256688593,ThompsonSampling
3.0,2.904115378893999,ThompsonSampling
3.0,3.8314080466891465,ThompsonSampling
3.0,4.221186868560532,ThompsonSampling
3.0,4.694439260842286,ThompsonSampling
3.0,5.563655253210803,ThompsonSampling
3.0,5.9691097004380635,ThompsonSampling
3.0,3.3107668272896498,ThompsonSampling
3.0,4.317589105500671,ThompsonSampling
3.0,3.1393299373153294,ThompsonSampling
3.0,2.2229531527337834,ThompsonSampling
3.0,4.728471694002051,ThompsonSampling
3.0,4.53889822085475,ThompsonSampling
3.0,3.7171745735049044,ThompsonSampling
3.0,5.024468989218054,ThompsonSampling
3.0,4.636320690402935,ThompsonSampling
3.0,4.059512500248336,ThompsonSampling
3.0,2.979686734009387,ThompsonSampling
3.0,3.673321828044374,ThompsonSampling
3.0,5.542922580864987,ThompsonSampling
3.0,3.779823738763797,ThompsonSampling
3.0,2.7700161315835308,ThompsonSampling
3.0,2.853940531728443,ThompsonSampling
3.0,4.370435636279547,ThompsonSampling
3.0,5.66622358874304,ThompsonSampling
3.0,4.669172634052244,ThompsonSampling
3.0,3.4801110472318397,ThompsonSampling
3.0,4.364569532744098,ThompsonSampling
3.0,3.8952913910756206,ThompsonSampling
3.0,4.789973947764608,ThompsonSampling
3.0,5.769485452812873,ThompsonSampling
3.0,5.264217900271968,ThompsonSampling
3.0,3.1925206126801773,ThompsonSampling
3.0,4.025747156128895,ThompsonSampling
3.0,3.4100066081505833,ThompsonSampling
3.0,5.365456992721915,ThompsonSampling
3.0,6.093810964144273,ThompsonSampling
3.0,4.356537344554581,ThompsonSampling
3.0,4.142054941245482,ThompsonSampling
3.0,4.246884157086253,ThompsonSampling
3.0,4.90766168290615,ThompsonSampling
3.0,4.70102797362966,ThompsonSampling
3.0,3.5877799212309816,ThompsonSampling
3.0,3.5538740325062923,ThompsonSampling
3.0,0.8767451925643406,ThompsonSampling
3.0,5.881972288730357,ThompsonSampling
3.0,2.6389766632939606,ThompsonSampling
3.0,2.6568080124700013,ThompsonSampling
3.0,1.820505455522063,ThompsonSampling
3.0,4.307752586201903,ThompsonSampling
3.0,5.196470890104163,ThompsonSampling
3.0,5.480096573373873,ThompsonSampling
3.0,3.500222221254642,ThompsonSampling
3.0,2.5476275142500753,ThompsonSampling
3.0,2.9876672390092414,ThompsonSampling
3.0,4.343162629188499,ThompsonSampling
3.0,4.495047225749629,ThompsonSampling
3.0,4.144347690270573,ThompsonSampling
3.0,3.97663418522295,ThompsonSampling
3.0,2.8790792960603557,ThompsonSampling
3.0,3.1654569325458133,ThompsonSampling
3.0,4.786281841850228,ThompsonSampling
3.0,5.1781821708523115,ThompsonSampling
3.0,5.706267649667477,ThompsonSampling
3.0,4.19565840650214,ThompsonSampling
3.0,3.8780690836792613,ThompsonSampling
3.0,3.858783157976275,ThompsonSampling
3.0,3.7022699167359727,ThompsonSampling
3.0,2.8963860616674024,ThompsonSampling
3.0,4.50203212158602,ThompsonSampling
3.0,4.777495734036839,ThompsonSampling
3.0,2.395629501935292,ThompsonSampling
3.0,4.185480240772497,ThompsonSampling
3.0,5.129373703924593,ThompsonSampling
3.0,4.79539352196017,ThompsonSampling
3.0,4.537861309033132,ThompsonSampling
3.0,4.346820001649338,ThompsonSampling
3.0,4.062187895622994,ThompsonSampling
3.0,4.552178475569437,ThompsonSampling
3.0,4.798734331081819,ThompsonSampling
3.0,5.199445253478645,ThompsonSampling
3.0,3.780482278193165,ThompsonSampling
3.0,4.605047291995781,ThompsonSampling
3.0,5.638719269923368,ThompsonSampling
3.0,3.7626437739926937,ThompsonSampling
3.0,2.4807878896669617,ThompsonSampling
3.0,2.1655445738707666,ThompsonSampling
3.0,2.9183026443413715,ThompsonSampling
3.0,4.763350897095286,ThompsonSampling
3.0,3.0036345688482933,ThompsonSampling
3.0,5.650860968713748,ThompsonSampling
3.0,6.416399650431554,ThompsonSampling
3.0,5.251136759705795,ThompsonSampling
3.0,3.1965525968613155,ThompsonSampling
3.0,6.015508522786235,ThompsonSampling
3.0,4.770703026065716,ThompsonSampling
3.0,2.3141370584775087,ThompsonSampling
3.0,2.9253979781085357,ThompsonSampling
3.0,3.932975973016814,ThompsonSampling
3.0,2.755688215951315,ThompsonSampling
3.0,3.3452773964858675,ThompsonSampling
3.0,3.6903384441141256,ThompsonSampling
3.0,4.218454939901021,ThompsonSampling
3.0,4.650015576196773,ThompsonSampling
3.0,3.5882690467702263,ThompsonSampling
3.0,4.1098410937239045,ThompsonSampling
3.0,5.00629627810098,ThompsonSampling
3.0,4.716110243429675,ThompsonSampling
3.0,4.372150823871754,ThompsonSampling
3.0,3.3901884052179194,ThompsonSampling
3.0,4.1588845297356904,ThompsonSampling
3.0,3.9397817664384447,ThompsonSampling
3.0,3.064951919422458,ThompsonSampling
3.0,4.170054784477776,ThompsonSampling
3.0,5.06115973882916,ThompsonSampling
3.0,4.727020915765139,ThompsonSampling
3.0,2.847202812527433,ThompsonSampling
3.0,3.9509212700251446,ThompsonSampling
3.0,3.9713512389755046,ThompsonSampling
3.0,3.4696951364270827,ThompsonSampling
3.0,2.597934841311904,ThompsonSampling
3.0,3.6817391514034705,ThompsonSampling
3.0,3.1514642666797723,ThompsonSampling
3.0,4.878930745129906,ThompsonSampling
3.0,3.165875461163366,ThompsonSampling
3.0,4.025404009294633,ThompsonSampling
3.0,4.6314361147769745,ThompsonSampling
3.0,4.516704494752211,ThompsonSampling
3.0,4.95798577126556,ThompsonSampling
3.0,6.0485021289961605,ThompsonSampling
3.0,4.271070957002909,ThompsonSampling
3.0,3.7555301568389146,ThompsonSampling
3.0,2.95670716487063,ThompsonSampling
3.0,2.9438520797623653,ThompsonSampling
3.0,4.045108163789397,ThompsonSampling
3.0,3.5023041771789942,ThompsonSampling
3.0,3.547630439473535,ThompsonSampling
3.0,3.647537528213355,ThompsonSampling
3.0,1.8756700041938972,ThompsonSampling
3.0,2.0091192526960073,ThompsonSampling
3.0,2.836613455843464,ThompsonSampling
3.0,3.9119516863398034,ThompsonSampling
3.0,4.932193079197613,ThompsonSampling
3.0,5.2845591259896265,ThompsonSampling
3.0,3.492700450028461,ThompsonSampling
3.0,2.2751478995177523,ThompsonSampling
3.0,3.6852830448743825,ThompsonSampling
3.0,5.537120879304251,ThompsonSampling
3.0,4.040708010389426,ThompsonSampling
3.0,3.6727456666408282,ThompsonSampling
3.0,3.6547889095736172,ThompsonSampling
3.0,3.8698051494645473,ThompsonSampling
3.0,2.7183655158228706,ThompsonSampling
3.0,4.394850802527865,ThompsonSampling
3.0,4.223543563836786,ThompsonSampling
3.0,3.8013407178090897,ThompsonSampling
3.0,3.057852747721973,ThompsonSampling
3.0,4.363748275929859,ThompsonSampling
3.0,4.313191122502587,ThompsonSampling
3.0,5.4827186311930065,ThompsonSampling
3.0,4.479723898535918,ThompsonSampling
3.0,2.1508270233956495,ThompsonSampling
3.0,4.644940238155193,ThompsonSampling
